"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensemble_id","symbol","entrez"
"ENSG00000000003.16",4591.51477688433,-0.208286976356226,0.186534203416878,-1.1166154653725,0.264158776201775,0.999407138421774,"ENSG00000000003","TSPAN6",7105
"ENSG00000000419.14",1348.21880765599,-0.118634245901353,0.229871380049701,-0.516089675346719,0.605791778655081,0.999407138421774,"ENSG00000000419","DPM1",8813
"ENSG00000000457.14",470.437930981566,-0.107125633348624,0.318961806755862,-0.335857243969714,0.736978520401419,0.999407138421774,"ENSG00000000457","SCYL3",57147
"ENSG00000000460.17",193.402029137176,-0.406271468863304,0.437062425670755,-0.929550208393696,0.352604017791897,0.999407138421774,"ENSG00000000460","C1orf112",55732
"ENSG00000000971.17",26825.5560890374,-0.339273227108386,0.18232035653804,-1.86086311781427,0.0627635093579806,0.760852983762778,"ENSG00000000971","CFH",3075
"ENSG00000001036.14",2110.97486884748,0.0450799713582143,0.204820161542817,0.220095380350486,0.825796872549046,0.999407138421774,"ENSG00000001036","FUCA2",2519
"ENSG00000001084.13",3582.25646469904,-0.0253174914926828,0.206152603697925,-0.122809467542697,0.902257977001465,0.999407138421774,"ENSG00000001084","GCLC",2729
"ENSG00000001167.15",433.944044663505,0.261719929936223,0.297736385002709,0.879032402888353,0.379383707091893,0.999407138421774,"ENSG00000001167","NFYA",4800
"ENSG00000001460.18",77.9178501558146,-0.283994599723877,0.620217262191867,-0.457895348994691,0.647027628517613,0.999407138421774,"ENSG00000001460","STPG1",90529
"ENSG00000001461.17",285.904371446332,0.234950536354436,0.393056760291265,0.597752182611825,0.550005301011713,0.999407138421774,"ENSG00000001461","NIPAL3",57185
"ENSG00000001497.18",709.280736254598,0.0462120354034702,0.287878731094436,0.160526049381226,0.872466703259082,0.999407138421774,"ENSG00000001497","LAS1L",81887
"ENSG00000001561.7",591.222155138709,0.0452194917245955,0.290192340228866,0.155825931480246,0.876170229936204,0.999407138421774,"ENSG00000001561","ENPP4",22875
"ENSG00000001617.12",4.33230659442191,-2.9040729858115,2.70528467662292,-1.07348147531621,0.283055145857683,NA,"ENSG00000001617","SEMA3F",6405
"ENSG00000001626.18",62.8249754477524,-0.440399666714438,0.798150694096723,-0.551775084544459,0.581102459673642,0.999407138421774,"ENSG00000001626","CFTR",1080
"ENSG00000001629.10",1379.81311620014,0.317775715972991,0.23596674932626,1.34669701083019,0.17807783539223,0.995717605048895,"ENSG00000001629","ANKIB1",54467
"ENSG00000001630.18",11372.7431257552,-0.227452089397937,0.183904813745833,-1.2367924730469,0.216164137186132,0.999407138421774,"ENSG00000001630","CYP51A1",1595
"ENSG00000001631.17",748.469362953848,-0.214199118313054,0.255053212347669,-0.839821291962691,0.401008593425859,0.999407138421774,"ENSG00000001631","KRIT1",889
"ENSG00000002016.18",250.544802355279,-0.128960043903163,0.468285576362106,-0.275387606223096,0.783018464916824,0.999407138421774,"ENSG00000002016","RAD52",5893
"ENSG00000002079.15",10.6484299059484,-0.205031617425778,1.64940981668655,-0.124306048958566,0.901072958074402,0.999407138421774,"ENSG00000002079","MYH16",NA
"ENSG00000002330.14",150.884886425847,0.250396135326455,0.456394887654858,0.548639220331963,0.583253064696055,0.999407138421774,"ENSG00000002330","BAD",572
"ENSG00000002549.13",3041.11929048893,-0.0738122082063651,0.195324542572941,-0.377895205764023,0.705508444078688,0.999407138421774,"ENSG00000002549","LAP3",51056
"ENSG00000002586.20",2119.52668298441,0.158175662563209,0.206231473414225,0.766981198090486,0.443092694445732,0.999407138421774,"ENSG00000002586","CD99",4267
"ENSG00000002746.15",24.7076535546583,-2.90608209679193,1.51245452283148,-1.92143436574307,0.0546769695066323,0.733233572531995,"ENSG00000002746","HECW1",23072
"ENSG00000002822.16",506.085272462779,-0.730367699865579,0.304135761033272,-2.40145288204263,0.0163301119708958,0.47304401282839,"ENSG00000002822","MAD1L1",8379
